rep_id,period,target_sales,target_units,target_priority_product_sales,target_new_customer_sales,target_visit_count,quota_difficulty_index,target_revision_flag,target_effective_date,target_version,currency_code,data_lineage
REP_0dfc420450a6,2017-01-01,15765414.620694028,40556.671398057544,3871420.787266873,347456.3787444412,53,0.9554796739814563,True,2016-12-23,2,UNK,synthetic_normal
REP_200ef690040c,2017-01-01,16040170.504593266,41263.483389120396,4035908.8722206317,556376.3538896979,43,0.9721315457329253,False,2016-11-25,1,UNK,synthetic_normal
REP_2234ec3bee93,2017-01-01,21105899.84274127,54295.117830823634,5414721.024847172,921965.8621788527,39,1.2791454450146225,False,2016-12-02,1,UNK,synthetic_normal
REP_56269a9759c4,2017-01-01,16639482.148876322,42805.218002957496,4092139.2652929383,705410.6463238314,50,1.008453463568262,False,2016-12-05,1,UNK,synthetic_normal
REP_6003efb01f5e,2017-01-01,15881140.928188702,40854.37836854288,4244273.201864548,1192274.6344084388,38,0.9624933895871941,False,2016-12-06,1,UNK,synthetic_normal
REP_6daf09991b71,2017-01-01,16832256.243463524,43301.13110111153,4515896.241717831,638983.7665713121,39,1.0201367420280922,False,2016-12-11,1,UNK,synthetic_normal
REP_82f7cb811b80,2017-01-01,16873775.360027604,43407.93940319175,4171628.605261076,492192.91776370356,38,1.0226530521228852,False,2016-11-17,1,UNK,synthetic_normal
REP_a132178ac1b8,2017-01-01,16309769.756989995,41957.02989910333,3998858.855469883,1179460.865240211,34,0.98847089436303,False,2016-12-08,1,UNK,synthetic_normal
REP_bba68d031906,2017-01-01,15424666.851944502,39680.0946876261,3947924.4594834666,923765.315385703,35,0.9348282940572425,False,2016-12-12,1,UNK,synthetic_normal
REP_c56e2fba156a,2017-01-01,17210835.354696747,44275.02928151845,4466076.957500063,896585.0334869734,42,1.0430809305876816,False,2016-11-18,1,UNK,synthetic_normal
REP_d21d2dd167c5,2017-01-01,17210225.66740101,44273.4608554476,4137716.4885740974,654880.302030762,34,1.0430439798424853,False,2016-11-28,1,UNK,synthetic_normal
REP_db1cc40d477a,2017-01-01,18743142.21748263,48216.90251544039,4670845.282752466,678765.1421603542,45,1.1359480131807655,False,2016-12-03,1,UNK,synthetic_normal
REP_e7e9152643c7,2017-01-01,16301393.226504583,41935.48119882958,4017262.263951644,640856.0959351058,34,0.9879632258487626,False,2016-11-29,1,UNK,synthetic_normal
REP_0dfc420450a6,2017-02-01,11960580.213466795,24317.19850280867,6015378.445643716,864966.0737822653,53,1.084865206568975,False,2017-01-02,1,UNK,synthetic_normal
REP_200ef690040c,2017-02-01,10816382.27514408,24253.02956036951,5787980.677102211,431006.01355404773,43,1.0852349323367088,False,2016-12-30,1,UNK,synthetic_normal
REP_2234ec3bee93,2017-02-01,14359949.623511234,33107.03094160195,6304430.0440659085,372275.3098724018,39,1.1297707705032467,False,2017-01-04,1,UNK,synthetic_normal
REP_56269a9759c4,2017-02-01,14164694.396016762,34495.4203894256,9117487.274728859,981328.2792490423,50,1.07142939103865,False,2016-12-18,1,UNK,synthetic_normal
REP_6003efb01f5e,2017-02-01,10674813.592705302,33287.187653003224,5981791.713004011,384184.5156194956,38,1.1984603721404177,False,2017-01-11,1,UNK,synthetic_normal
REP_6daf09991b71,2017-02-01,14199109.904842097,31960.28556924202,4010076.714255336,605897.1276687076,39,1.1039052106035172,False,2017-01-11,1,UNK,synthetic_normal
REP_82f7cb811b80,2017-02-01,7634043.435991799,22266.979918071575,3558299.495426221,225920.08817478878,38,1.1141537078438306,False,2017-01-02,1,UNK,synthetic_normal
REP_a132178ac1b8,2017-02-01,17866271.500674084,31809.444053278745,13440347.923624584,795052.5843740794,34,1.1827742658054632,True,2017-01-25,2,UNK,synthetic_normal
REP_bba68d031906,2017-02-01,5056734.061465441,14314.39386529604,2570750.4719233406,186739.1618358353,35,1.056103099684485,False,2017-01-03,1,UNK,synthetic_normal
REP_c56e2fba156a,2017-02-01,13728847.44109578,32101.430095932414,5415269.506867941,561422.120146775,42,1.2021300482180817,False,2016-12-18,1,UNK,synthetic_normal
REP_d21d2dd167c5,2017-02-01,8647389.713589324,23411.12930976848,4899893.360798083,456996.85426248447,34,1.135171205368141,False,2017-01-06,1,UNK,synthetic_normal
REP_db1cc40d477a,2017-02-01,11102685.530757973,24554.844415387364,4297062.807136277,601693.7528092263,45,1.1436701044552477,False,2017-01-12,1,UNK,synthetic_normal
