rep_id,period,customer_id,customer_name,territory_id,geography,channel,customer_type,customer_segment,customer_priority,potential_score,required_visit_count,priority_required_visit_count,servicing_rep_count,observed_visit_count,observed_completed_visit_count,observed_visit_hours,observed_travel_hours,planned_visit_count,completed_visit_count,planned_visit_hours,planned_travel_hours,excess_service_visit_count,excess_service_visit_hours,excess_service_travel_hours,excess_service_hours,planned_coverage_gap_count,customer_coverage_gap,priority_customer_coverage_gap,estimated_travel_hours_per_visit,required_coverage_visit_hours,required_coverage_travel_hours,required_customer_coverage_hours,required_priority_customer_coverage_hours,customer_coverage_pct,coverage_met_flag,priority_customer_flag,coverage_visit_scope,coverage_status,data_lineage,synthetic_seed
REP_0dfc420450a6,2017-01-01,CUST_058f1996d0c0,Smith Inc Pharmacy,TERR_b31415d90eb9,Kirchheim unter Teck,Pharmacy,Institution,strategic,high,83.46205059920106,1.875,1.875,4.0,4.0,4.0,3.3166666666666664,1.9063848441916431,1.875,1.875,1.5546875,0.8936178957148327,2.125,1.7619791666666664,1.0127669484768105,2.774746115143477,0.0,0.0,0.0,0.4765962110479108,0.0,0.0,0.0,0.0,100.0,True,True,all servicing reps credited to portfolio customer,Covered,synthetic_derived,42
REP_0dfc420450a6,2017-01-01,CUST_0ba004721749,Fritsch LLC Pharm,TERR_49c0203db75f,Biberach,Hospital,Government,core,medium,42.71637816245006,1.25,0.0,4.0,4.0,3.0,2.8833333333333333,2.5464209839129777,1.25,1.25,0.9010416666666666,0.7957565574728055,2.75,1.9822916666666668,1.750664426440172,3.732956093106839,0.0,0.0,0.0,0.6366052459782444,0.0,0.0,0.0,0.0,100.0,True,False,all servicing reps credited to portfolio customer,Covered,synthetic_derived,42
REP_0dfc420450a6,2017-01-01,CUST_1234fc9d9167,"Bogan, Jacobs and Kris Pharmaceutical Ltd",TERR_49c0203db75f,Heppenheim,Hospital,Government,core,medium,69.56058588548602,1.25,0.0,1.0,1.0,1.0,0.7,0.7142857142857143,1.0,1.0,0.7,0.7142857142857143,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.7142857142857143,0.175,0.17857142857142858,0.35357142857142854,0.0,80.0,False,False,all servicing reps credited to portfolio customer,Coverage gap,synthetic_derived,42
REP_0dfc420450a6,2017-01-01,CUST_128b276cb4fe,Torp-Fisher,TERR_b31415d90eb9,Grevenbroich,Pharmacy,Institution,strategic,high,98.20239680426099,1.875,1.875,4.0,4.0,3.0,3.1666666666666665,2.1411644842396775,1.875,1.875,1.484375,1.0036708519873487,2.125,1.6822916666666665,1.1374936322523288,2.8197852989189953,0.0,0.0,0.0,0.5352911210599194,0.0,0.0,0.0,0.0,100.0,True,True,all servicing reps credited to portfolio customer,Covered,synthetic_derived,42
REP_0dfc420450a6,2017-01-01,CUST_13714163b271,Breitenberg-Kuhn Pharma Plc,TERR_938541fb7311,Cloppenburg,Pharmacy,Retail,strategic,high,82.14380825565912,1.875,1.875,6.0,6.0,6.0,5.066666666666666,3.6218029716411784,1.875,1.875,1.5833333333333333,1.1318134286378683,4.125,3.4833333333333334,2.4899895430033103,5.973322876336644,0.0,0.0,0.0,0.6036338286068631,0.0,0.0,0.0,0.0,100.0,True,True,all servicing reps credited to portfolio customer,Covered,synthetic_derived,42
REP_0dfc420450a6,2017-01-01,CUST_1429b623341b,Crona Group,TERR_49c0203db75f,Viersen,Hospital,Government,core,medium,45.233022636484684,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.6648237118939397,0.875,0.8310296398674246,1.7060296398674246,0.0,0.0,False,False,all servicing reps credited to portfolio customer,Coverage gap,synthetic_derived,42
REP_0dfc420450a6,2017-01-01,CUST_149cb2668c08,Steuber Ltd Pharm,TERR_49c0203db75f,Gera,Hospital,Government,strategic,high,75.67243675099867,1.875,1.875,4.0,4.0,4.0,2.7333333333333334,2.4104338707583297,1.875,1.875,1.28125,1.129890876917967,2.125,1.4520833333333334,1.2805429938403627,2.732626327173696,0.0,0.0,0.0,0.6026084676895824,0.0,0.0,0.0,0.0,100.0,True,True,all servicing reps credited to portfolio customer,Covered,synthetic_derived,42
REP_0dfc420450a6,2017-01-01,CUST_1d258a36d610,"Funk, Ratke and Heaney",TERR_b31415d90eb9,Bad Dürkheim,Pharmacy,Retail,strategic,high,94.60719041278296,1.875,1.875,3.0,3.0,2.0,2.4833333333333334,1.746320030701725,1.875,1.875,1.5520833333333335,1.091450019188578,1.125,0.9312499999999999,0.6548700115131469,1.5861200115131469,0.0,0.0,0.0,0.582106676900575,0.0,0.0,0.0,0.0,100.0,True,True,all servicing reps credited to portfolio customer,Covered,synthetic_derived,42
REP_0dfc420450a6,2017-01-01,CUST_1edc0e523706,"Gerhold, Mills and Effertz Pharma Plc",TERR_07a5ea4d7ed4,Stadthagen,Hospital,Private,emerging,low,36.72436750998668,0.625,0.0,1.0,1.0,1.0,0.75,0.6505562958291827,0.625,0.625,0.46875,0.4065976848932392,0.375,0.28125,0.2439586109359435,0.5252086109359435,0.0,0.0,0.0,0.6505562958291827,0.0,0.0,0.0,0.0,100.0,True,False,all servicing reps credited to portfolio customer,Covered,synthetic_derived,42
REP_0dfc420450a6,2017-01-01,CUST_1ee146ecb197,Feest-Roob Pharmacy,TERR_49c0203db75f,Nordhausen,Hospital,Government,emerging,low,33.968042609853526,0.625,0.0,1.0,1.0,1.0,0.5333333333333333,0.477362366774173,0.625,0.625,0.3333333333333333,0.29835147923385813,0.375,0.2,0.17901088754031486,0.37901088754031487,0.0,0.0,0.0,0.477362366774173,0.0,0.0,0.0,0.0,100.0,True,False,all servicing reps credited to portfolio customer,Covered,synthetic_derived,42
REP_0dfc420450a6,2017-01-01,CUST_211a2d5b8372,"Reynolds, Jast and Mante Pharm",TERR_938541fb7311,Elmshorn,Hospital,Government,strategic,high,95.5659121171771,1.875,1.875,4.0,4.0,4.0,3.066666666666667,2.7856287371140245,1.875,1.875,1.4375,1.305763470522199,2.125,1.6291666666666669,1.4798652665918255,3.1090319332584926,0.0,0.0,0.0,0.6964071842785061,0.0,0.0,0.0,0.0,100.0,True,True,all servicing reps credited to portfolio customer,Covered,synthetic_derived,42
