rep_id,manager_id,team_id,territory_id,period,policy_id,policy_version,eligible_gross_sales,eligible_net_sales,target_sales,attainment_pct,base_incentive,accelerator_amount,product_mix_bonus,new_customer_bonus,discount_penalty,return_clawback,manual_adjustment,calculated_incentive,final_incentive_paid,payout_date,payout_status,payout_to_sales_ratio,currency_code,reconciliation_tolerance,data_lineage,incentive_record_id
REP_0dfc420450a6,MGR_eb86f856200b,TEAM_f144a6907dc4,TERR_07a5ea4d7ed4,2017-01-01,POL_STANDARD,2017.1,9484721.15,8523688.93,15765414.62,54.06574539628966,11405.78,0.0,886.68,11100.0,0.0,498.9,0.0,22893.56,22893.56,2017-02-15,paid,0.002685874497070142,UNK,0.02,synthetic_normal,INC_00000001
REP_200ef690040c,MGR_31981a685b7e,TEAM_4f4a9410ffcd,TERR_49c0203db75f,2017-01-01,POL_STANDARD,2017.1,11065274.95,9924132.73,16040170.5,61.87049398728536,15196.77,0.0,935.17,12400.0,0.0,996.77,0.0,25000.0,25000.0,2017-02-15,paid,0.002519111814222907,UNK,0.02,synthetic_normal,INC_00000002
REP_2234ec3bee93,MGR_4b97498897f6,TEAM_b9dd960c1753,TERR_938541fb7311,2017-01-01,POL_STANDARD,2017.1,15207088.5,13414084.56,21105899.84,63.55608933550112,21100.53,0.0,890.42,12400.0,0.0,202.3,0.0,25000.0,25000.0,2017-02-15,paid,0.0018637127185107882,UNK,0.02,synthetic_normal,INC_00000003
REP_56269a9759c4,MGR_31981a685b7e,TEAM_4f4a9410ffcd,TERR_49c0203db75f,2017-01-01,POL_STANDARD,2017.1,15217127.6,13573711.47,16639482.15,81.57532397237087,42353.46,0.0,2613.98,11450.0,0.0,67.93,0.0,25000.0,25000.0,2017-02-15,paid,0.0018417954481171439,UNK,0.02,synthetic_normal,INC_00000004
REP_6003efb01f5e,MGR_31981a685b7e,TEAM_4f4a9410ffcd,TERR_49c0203db75f,2017-01-01,POL_STANDARD,2017.1,9587371.0,8619232.41,15881140.93,54.27338283776152,11577.92,0.0,686.33,11500.0,0.0,303.26,0.0,23461.0,23461.0,2017-02-15,paid,0.0027219355601873162,UNK,0.02,synthetic_normal,INC_00000005
REP_6daf09991b71,MGR_4b97498897f6,TEAM_b9dd960c1753,TERR_938541fb7311,2017-01-01,POL_STANDARD,2017.1,9552351.2,8550206.35,16832256.24,50.796555307174366,10749.45,0.0,489.81,12200.0,0.0,129.37,0.0,23309.88,23309.88,2017-02-15,paid,0.0027262364162816614,UNK,0.02,synthetic_normal,INC_00000006
REP_82f7cb811b80,MGR_4b97498897f6,TEAM_b9dd960c1753,TERR_938541fb7311,2017-01-01,POL_STANDARD,2017.1,7938735.35,7111204.73,16873775.36,42.14353085954416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-15,paid,0.0,UNK,0.02,synthetic_normal,INC_00000007
REP_a132178ac1b8,MGR_5e1c70ff0ce6,TEAM_a405eba78bf2,TERR_b31415d90eb9,2017-01-01,POL_STANDARD,2017.1,17674345.35,15656860.37,16309769.76,95.99682032405909,57490.09,0.0,4384.19,11650.0,0.0,122.06,0.0,25000.0,25000.0,2017-02-15,paid,0.0015967441371376111,UNK,0.02,synthetic_normal,INC_00000008
REP_bba68d031906,MGR_eb86f856200b,TEAM_f144a6907dc4,TERR_07a5ea4d7ed4,2017-01-01,POL_STANDARD,2017.1,5701567.3,5129457.31,15424666.85,33.25489854025555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-15,paid,0.0,UNK,0.02,synthetic_normal,INC_00000009
REP_c56e2fba156a,MGR_5e1c70ff0ce6,TEAM_a405eba78bf2,TERR_b31415d90eb9,2017-01-01,POL_STANDARD,2017.1,12702776.75,11240147.83,17210835.35,65.30855472648737,18168.43,0.0,839.05,12800.0,0.0,835.85,0.0,25000.0,25000.0,2017-02-15,paid,0.002224170036362176,UNK,0.02,synthetic_normal,INC_00000010
REP_d21d2dd167c5,MGR_eb86f856200b,TEAM_f144a6907dc4,TERR_07a5ea4d7ed4,2017-01-01,POL_STANDARD,2017.1,8699705.45,7777788.72,17210225.67,45.19283404581151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-02-15,paid,0.0,UNK,0.02,synthetic_normal,INC_00000011
REP_db1cc40d477a,MGR_5e1c70ff0ce6,TEAM_a405eba78bf2,TERR_b31415d90eb9,2017-01-01,POL_STANDARD,2017.1,10968385.1,9721830.31,18743142.22,51.86873257621918,12480.41,0.0,505.42,11650.0,0.0,1632.98,0.0,23002.85,23002.85,2017-02-15,paid,0.002366102518969168,UNK,0.02,synthetic_normal,INC_00000012
REP_e7e9152643c7,MGR_31981a685b7e,TEAM_4f4a9410ffcd,TERR_49c0203db75f,2017-01-01,POL_STANDARD,2017.1,10862333.95,9709514.21,16301393.23,59.56248080913377,14313.49,0.0,893.69,11700.0,0.0,1354.47,0.0,25000.0,25000.0,2017-02-15,paid,0.002574794109544129,UNK,0.02,synthetic_normal,INC_00000013
REP_0dfc420450a6,MGR_eb86f856200b,TEAM_f144a6907dc4,TERR_07a5ea4d7ed4,2017-02-01,POL_STANDARD,2017.1,10853800.85,9610405.0,11960580.21,80.35065878240115,29536.74,0.0,1279.2,7600.0,0.0,111.41,0.0,25000.0,25000.0,2017-03-15,paid,0.0026013471868395486,UNK,0.02,synthetic_normal,INC_00000014
REP_200ef690040c,MGR_31981a685b7e,TEAM_4f4a9410ffcd,TERR_49c0203db75f,2017-02-01,POL_STANDARD,2017.1,20787553.05,18416505.96,10816382.28,170.26493228341707,82874.28,101905.22,3773.34,6850.0,0.0,351.81,0.0,25000.0,25000.0,2017-03-15,paid,0.0013574779091829858,UNK,0.02,synthetic_normal,INC_00000015
REP_2234ec3bee93,MGR_4b97498897f6,TEAM_b9dd960c1753,TERR_938541fb7311,2017-02-01,POL_STANDARD,2017.1,13741694.8,12293248.15,14359949.62,85.6078779866883,40254.26,0.0,1745.87,6550.0,0.0,1144.98,0.0,25000.0,25000.0,2017-03-15,paid,0.0020336366507512672,UNK,0.02,synthetic_normal,INC_00000016
REP_56269a9759c4,MGR_31981a685b7e,TEAM_4f4a9410ffcd,TERR_49c0203db75f,2017-02-01,POL_STANDARD,2017.1,13746893.4,12313999.7,14164694.4,86.93445374426247,40947.04,0.0,1652.59,6900.0,0.0,240.61,0.0,25000.0,25000.0,2017-03-15,paid,0.0020302095674589126,UNK,0.02,synthetic_normal,INC_00000017
REP_6003efb01f5e,MGR_31981a685b7e,TEAM_4f4a9410ffcd,TERR_49c0203db75f,2017-02-01,POL_STANDARD,2017.1,10341671.5,9218149.74,10674813.59,86.35419869497358,30447.99,0.0,1343.52,8200.0,0.0,183.92,0.0,25000.0,25000.0,2017-03-15,paid,0.002712040995719226,UNK,0.02,synthetic_normal,INC_00000018
