sales_team,sales_manager,territory_id,customer,rep_slot,manager_id,rep_id,rep_tenure_months,rep_capacity
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_001,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_002,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_003,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_004,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_005,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_006,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_007,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_008,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_009,0,MANAGER_MGR_01,REP_00001,32,96
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_010,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_011,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_012,0,MANAGER_MGR_01,REP_00001,32,96
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_013,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_014,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_015,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_016,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_017,0,MANAGER_MGR_01,REP_00001,32,96
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_018,0,MANAGER_MGR_01,REP_00001,32,96
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_019,0,MANAGER_MGR_01,REP_00001,32,96
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_020,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_021,0,MANAGER_MGR_01,REP_00001,32,96
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_022,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_023,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_024,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_025,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_026,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_027,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_028,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_029,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_030,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_031,2,MANAGER_MGR_01,REP_00003,32,115
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_032,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_033,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_034,1,MANAGER_MGR_01,REP_00002,74,106
Team_Apex,MGR_01,TERR_INDIA_MUMBAI,CUST_00_035,0,MANAGER_MGR_01,REP_00001,32,96
