team,country,product_class,scenario,scenario_change,workload_before,capacity_before,utilization_before,fte_gap_before,workload_after,capacity_after,utilization_after,remaining_gap
Delta,Germany,Antibiotics,Base case,demand=+0%; FTE=+0; capacity=+0%,3.379724481909679,4.161991619349919,0.8120449993692139,-0.10455752818263125,3.379724481909679,4.161991619349919,0.8120449993692139,-0.10455752818263125
Delta,Germany,Antibiotics,Demand +10%,demand=+10%; FTE=+0; capacity=+0%,3.379724481909679,4.161991619349919,0.8120449993692139,-0.10455752818263125,3.717696930100647,4.161991619349919,0.8932494993061353,-0.05938425925008639
Delta,Germany,Antibiotics,Demand +20%,demand=+20%; FTE=+0; capacity=+0%,3.379724481909679,4.161991619349919,0.8120449993692139,-0.10455752818263125,4.055669378291614,4.161991619349919,0.9744539992430564,-0.014210990317541694
Delta,Germany,Antibiotics,Add 1 representative,demand=+0%; FTE=+1; capacity=+0%,3.379724481909679,4.161991619349919,0.8120449993692139,-0.10455752818263125,3.379724481909679,11.643682809235836,0.29026250004241455,-1.1045575281826314
Delta,Germany,Antibiotics,Add 2 representatives,demand=+0%; FTE=+2; capacity=+0%,3.379724481909679,4.161991619349919,0.8120449993692139,-0.10455752818263125,3.379724481909679,19.125373999121752,0.17671416423359237,-2.104557528182631
Delta,Germany,Antibiotics,Capacity -10%,demand=+0%; FTE=+0; capacity=-10%,3.379724481909679,4.161991619349919,0.8120449993692139,-0.10455752818263125,3.379724481909679,3.7457924574149275,0.9022722215213488,-0.0543650071464703
Delta,Germany,Antibiotics,Product launch +30%,demand=+30%; FTE=+0; capacity=+0%,3.379724481909679,4.161991619349919,0.8120449993692139,-0.10455752818263125,4.3936418264825825,4.161991619349919,1.055658499179978,0.030962278615003225
Alfa,Germany,Antimalarial,Base case,demand=+0%; FTE=+0; capacity=+0%,2.614352210612992,2.9929366965854394,0.8735073526933049,-0.05060145846225711,2.614352210612992,2.9929366965854394,0.8735073526933049,-0.05060145846225711
Alfa,Germany,Antimalarial,Demand +10%,demand=+10%; FTE=+0; capacity=+0%,2.614352210612992,2.9929366965854394,0.8735073526933049,-0.05060145846225711,2.8757874316742917,2.9929366965854394,0.9608580879626355,-0.015658126209421086
Alfa,Germany,Antimalarial,Demand +20%,demand=+20%; FTE=+0; capacity=+0%,2.614352210612992,2.9929366965854394,0.8735073526933049,-0.05060145846225711,3.1372226527355904,2.9929366965854394,1.048208823231966,0.019285206043414826
Alfa,Germany,Antimalarial,Add 1 representative,demand=+0%; FTE=+1; capacity=+0%,2.614352210612992,2.9929366965854394,0.8735073526933049,-0.05060145846225711,2.614352210612992,10.474627886471357,0.2495890296961855,-1.0506014584622572
