team,country,product_class,forecast_horizon,eligible_for_capacity_recommendation,selected_forecast_method,forecast_workload,forecast_error_metric_used_for_selection,sustainable_workload_per_rep,allocated_fte,required_fte,fte_gap,required_fte_lower,required_fte_upper,fte_gap_lower,fte_gap_upper,forecast_lower_scenario,forecast_upper_scenario,forecast_scenario_basis,workload_score_raw,workload_score_winsorized,customer_load,transaction_load,geography_load,product_load,distributor_load,workload_components_basis,last_observed_month,coverage_note,validation_wape,test_wape,forecast_metric_scope,latest_observed_workload,recent_workload_growth,recent_workload_growth_basis,capacity_priority
Alfa,Germany,Analgesics,2019-05-01,True,exponential_smoothing,3.0095915351806592,WAPE,7.481691189885916,0.5170295611454692,0.4022608603853042,-0.1147687007601649,0.1777443310933292,0.5911403238296483,-0.33928523005213995,0.07411076268417915,1.8919605953705392,4.127222474990779,"Recovered from saved FTE scenario bounds and TRAIN capacity quantiles; validation absolute-error sensitivity, not a statistical confidence interval.",3.009591535180659,3.134152898032612,143.68910200776668,193.0,143.63745099280615,41.55538035786012,5.0,"Independently forecast counts of customers, transactions, cities, products, and distributors; not additive weighted-workload contributions.",2019-04-01,Observed latest-month rep allocation,0.1302142856080636,0.1568863030007079,Pooled workload WAPE across available business-unit observations in each split; not unit-specific. Validation and test coverage may differ.,2.571571310516544,0.13719916053677572,"Mean workload in the latest 3 calendar months / mean in the preceding 3 months - 1; as of last_observed_month, requiring all 6 saved actuals.",Potential Spare Capacity
Alfa,Germany,Antibiotics,2019-05-01,True,exponential_smoothing,2.689109594596772,WAPE,7.481691189885916,0.4576486468372959,0.3594253660498618,-0.098223280787434,0.1738319074936795,0.505300125608413,-0.2838167393436164,0.047651478771117084,1.8503156594257277,3.5279035297678156,"Recovered from saved FTE scenario bounds and TRAIN capacity quantiles; validation absolute-error sensitivity, not a statistical confidence interval.",2.6891095945967716,2.853592068622034,132.3464701364689,158.0,132.31306455087025,33.65590599110353,5.0,"Independently forecast counts of customers, transactions, cities, products, and distributors; not additive weighted-workload contributions.",2019-04-01,Observed latest-month rep allocation,0.1302142856080636,0.1568863030007079,Pooled workload WAPE across available business-unit observations in each split; not unit-specific. Validation and test coverage may differ.,2.273943677087693,0.0996807923826355,"Mean workload in the latest 3 calendar months / mean in the preceding 3 months - 1; as of last_observed_month, requiring all 6 saved actuals.",Potential Spare Capacity
Alfa,Germany,Antimalarial,2019-05-01,True,exponential_smoothing,2.614352210612992,WAPE,7.481691189885916,0.4000347809906167,0.3494333225283596,-0.0506014584622571,0.1828823786087572,0.4700870592116932,-0.21715240238185948,0.07005227822107651,1.9466514165997517,3.2820530046262326,"Recovered from saved FTE scenario bounds and TRAIN capacity quantiles; validation absolute-error sensitivity, not a statistical confidence interval.",2.614352210612992,2.7191229229487193,127.87895143617796,156.0,127.5293427635034,34.32885249110956,5.333333333333333,"Independently forecast counts of customers, transactions, cities, products, and distributors; not additive weighted-workload contributions.",2019-04-01,Observed latest-month rep allocation,0.1302142856080636,0.1568863030007079,Pooled workload WAPE across available business-unit observations in each split; not unit-specific. Validation and test coverage may differ.,1.9912701095763976,0.026266758527898837,"Mean workload in the latest 3 calendar months / mean in the preceding 3 months - 1; as of last_observed_month, requiring all 6 saved actuals.",Potential Spare Capacity
Alfa,Germany,Antipiretics,2019-05-01,True,exponential_smoothing,2.565687173006647,WAPE,7.481691189885916,0.4422179497084053,0.3429287721036999,-0.0992891776047054,0.1769313781887563,0.4652192653155123,-0.26528657151964896,0.023001315607106998,1.883307296264553,3.2480670497487396,"Recovered from saved FTE scenario bounds and TRAIN capacity quantiles; validation absolute-error sensitivity, not a statistical confidence interval.",2.5656871730066464,2.6437254062657187,124.0278822836282,173.0,124.01286953121598,34.41540858638588,5.666666666666667,"Independently forecast counts of customers, transactions, cities, products, and distributors; not additive weighted-workload contributions.",2019-04-01,Observed latest-month rep allocation,0.1302142856080636,0.1568863030007079,Pooled workload WAPE across available business-unit observations in each split; not unit-specific. Validation and test coverage may differ.,2.199300256501068,0.08178285519353645,"Mean workload in the latest 3 calendar months / mean in the preceding 3 months - 1; as of last_observed_month, requiring all 6 saved actuals.",Potential Spare Capacity
Alfa,Germany,Antiseptics,2019-05-01,True,exponential_smoothing,3.506608475629501,WAPE,7.481691189885916,0.6220185392073581,0.4686919556864216,-0.1533265835209364,0.2746653721447461,0.585751897011407,-0.34735316706261193,-0.036266642195951104,2.9236153851668316,4.089601566092171,"Recovered from saved FTE scenario bounds and TRAIN capacity quantiles; validation absolute-error sensitivity, not a statistical confidence interval.",3.5066084756295006,3.6540410803821053,164.13627798205565,201.0,163.88702214945693,48.19103285634717,6.0,"Independently forecast counts of customers, transactions, cities, products, and distributors; not additive weighted-workload contributions.",2019-04-01,Observed latest-month rep allocation,0.1302142856080636,0.1568863030007079,Pooled workload WAPE across available business-unit observations in each split; not unit-specific. Validation and test coverage may differ.,3.0906352962641,0.021579510473234365,"Mean workload in the latest 3 calendar months / mean in the preceding 3 months - 1; as of last_observed_month, requiring all 6 saved actuals.",Potential Spare Capacity
Alfa,Germany,Mood Stabilizers,2019-05-01,True,exponential_smoothing,3.182826522285218,WAPE,7.481691189885916,0.5610505221108548,0.425415382900046,-0.1356351392108087,0.256465262487731,0.5207490409397674,-0.3045852596231238,-0.04030148117108745,2.729888304867348,3.6357647397030894,"Recovered from saved FTE scenario bounds and TRAIN capacity quantiles; validation absolute-error sensitivity, not a statistical confidence interval.",3.1828265222852177,3.3558966855724353,151.32581982775585,217.0,151.07540068398794,42.93171871150388,5.0,"Independently forecast counts of customers, transactions, cities, products, and distributors; not additive weighted-workload contributions.",2019-04-01,Observed latest-month rep allocation,0.1302142856080636,0.1568863030007079,Pooled workload WAPE across available business-unit observations in each split; not unit-specific. Validation and test coverage may differ.,2.788798469579403,0.1409196219533182,"Mean workload in the latest 3 calendar months / mean in the preceding 3 months - 1; as of last_observed_month, requiring all 6 saved actuals.",Potential Spare Capacity
Alfa,Poland,Analgesics,2019-05-01,False,,,,,,,,,,,,,,"Recovered from saved FTE scenario bounds and TRAIN capacity quantiles; validation absolute-error sensitivity, not a statistical confidence interval.",,,,,,,,"Independently forecast counts of customers, transactions, cities, products, and distributors; not additive weighted-workload contributions.",2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,Pooled workload WAPE across available business-unit observations in each split; not unit-specific. Validation and test coverage may differ.,2.519043594449274,0.04015907738595592,"Mean workload in the latest 3 calendar months / mean in the preceding 3 months - 1; as of last_observed_month, requiring all 6 saved actuals.",Ineligible / Stale Coverage
Alfa,Poland,Antibiotics,2019-05-01,False,,,,,,,,,,,,,,"Recovered from saved FTE scenario bounds and TRAIN capacity quantiles; validation absolute-error sensitivity, not a statistical confidence interval.",,,,,,,,"Independently forecast counts of customers, transactions, cities, products, and distributors; not additive weighted-workload contributions.",2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,Pooled workload WAPE across available business-unit observations in each split; not unit-specific. Validation and test coverage may differ.,2.281085461004325,0.046709049142247716,"Mean workload in the latest 3 calendar months / mean in the preceding 3 months - 1; as of last_observed_month, requiring all 6 saved actuals.",Ineligible / Stale Coverage
Alfa,Poland,Antimalarial,2019-05-01,False,,,,,,,,,,,,,,"Recovered from saved FTE scenario bounds and TRAIN capacity quantiles; validation absolute-error sensitivity, not a statistical confidence interval.",,,,,,,,"Independently forecast counts of customers, transactions, cities, products, and distributors; not additive weighted-workload contributions.",2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,Pooled workload WAPE across available business-unit observations in each split; not unit-specific. Validation and test coverage may differ.,1.989099509535615,0.0879957482862026,"Mean workload in the latest 3 calendar months / mean in the preceding 3 months - 1; as of last_observed_month, requiring all 6 saved actuals.",Ineligible / Stale Coverage
Alfa,Poland,Antipiretics,2019-05-01,False,,,,,,,,,,,,,,"Recovered from saved FTE scenario bounds and TRAIN capacity quantiles; validation absolute-error sensitivity, not a statistical confidence interval.",,,,,,,,"Independently forecast counts of customers, transactions, cities, products, and distributors; not additive weighted-workload contributions.",2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,Pooled workload WAPE across available business-unit observations in each split; not unit-specific. Validation and test coverage may differ.,2.132904579456304,0.1020423600447864,"Mean workload in the latest 3 calendar months / mean in the preceding 3 months - 1; as of last_observed_month, requiring all 6 saved actuals.",Ineligible / Stale Coverage
Alfa,Poland,Antiseptics,2019-05-01,False,,,,,,,,,,,,,,"Recovered from saved FTE scenario bounds and TRAIN capacity quantiles; validation absolute-error sensitivity, not a statistical confidence interval.",,,,,,,,"Independently forecast counts of customers, transactions, cities, products, and distributors; not additive weighted-workload contributions.",2018-12-01,Stale source coverage: missing months are NOT zero demand or zero staffing,,,Pooled workload WAPE across available business-unit observations in each split; not unit-specific. Validation and test coverage may differ.,2.887972621998991,0.062403865385376456,"Mean workload in the latest 3 calendar months / mean in the preceding 3 months - 1; as of last_observed_month, requiring all 6 saved actuals.",Ineligible / Stale Coverage
