team,country,product_class,forecast_horizon,scenario_name,scenario_description,forecast_workload,allocated_fte,sustainable_capacity_per_rep,required_fte,fte_gap,capacity_priority,eligible_for_capacity_recommendation,source_unit,target_unit,fte_reallocated,reallocation_role,allocated_fte_change,scenario_source_name,scenario_source_description
Alfa,Germany,Analgesics,2019-05-01,Add 1 FTE,One FTE is added to this unit independently; workload and per-rep capacity are unchanged.,3.0095915351806592,1.5170295611454694,7.481691189885916,0.40226086038530423,-1.114768700760165,Potential Spare Capacity,True,,,,,1.0000000000000002,Add 1 representative,demand=+0%; FTE=+1; capacity=+0%
Alfa,Germany,Analgesics,2019-05-01,Add 2 FTE,Two FTE are added to this unit independently; workload and per-rep capacity are unchanged.,3.0095915351806592,2.517029561145469,7.481691189885916,0.40226086038530423,-2.1147687007601648,Potential Spare Capacity,True,,,,,2.0,Add 2 representatives,demand=+0%; FTE=+2; capacity=+0%
Alfa,Germany,Analgesics,2019-05-01,Base,"Persisted base workload forecast, fractional FTE allocation, and sustainable per-rep capacity.",3.0095915351806592,0.5170295611454693,7.481691189885916,0.40226086038530423,-0.1147687007601649,Potential Spare Capacity,True,,,,,1.1102230246251565e-16,Base case,demand=+0%; FTE=+0; capacity=+0%
Alfa,Germany,Analgesics,2019-05-01,Capacity -10%,Sustainable per-rep capacity decreases 10%; workload and allocated FTE are unchanged.,3.0095915351806592,0.5170295611454692,6.733522070897325,0.4469565115392269,-0.0700730496062422,Potential Spare Capacity,True,,,,,0.0,Capacity -10%,demand=+0%; FTE=+0; capacity=-10%
Alfa,Germany,Analgesics,2019-05-01,Demand +10%,Workload increases 10%; allocated FTE and sustainable per-rep capacity are unchanged.,3.3105506886987253,0.5170295611454693,7.481691189885916,0.4424869464238347,-0.0745426147216344,Potential Spare Capacity,True,,,,,1.1102230246251565e-16,Demand +10%,demand=+10%; FTE=+0; capacity=+0%
Alfa,Germany,Analgesics,2019-05-01,Demand +20%,Workload increases 20%; allocated FTE and sustainable per-rep capacity are unchanged.,3.611509842216791,0.5170295611454693,7.481691189885916,0.482713032462365,-0.0343165286831041,Potential Spare Capacity,True,,,,,1.1102230246251565e-16,Demand +20%,demand=+20%; FTE=+0; capacity=+0%
Alfa,Germany,Analgesics,2019-05-01,Product Launch,Existing launch assumption: workload increases 30%; FTE and per-rep capacity are unchanged.,3.912468995734857,0.5170295611454693,7.481691189885916,0.5229391185008955,0.0059095573554263,Potential Capacity Gap,True,,,,,1.1102230246251565e-16,Product launch +30%,demand=+30%; FTE=+0; capacity=+0%
Alfa,Germany,Antibiotics,2019-05-01,Add 1 FTE,One FTE is added to this unit independently; workload and per-rep capacity are unchanged.,2.689109594596772,1.457648646837296,7.481691189885916,0.35942536604986186,-1.098223280787434,Potential Spare Capacity,True,,,,,1.0,Add 1 representative,demand=+0%; FTE=+1; capacity=+0%
Alfa,Germany,Antibiotics,2019-05-01,Add 2 FTE,Two FTE are added to this unit independently; workload and per-rep capacity are unchanged.,2.689109594596772,2.457648646837296,7.481691189885916,0.35942536604986186,-2.098223280787434,Potential Spare Capacity,True,,,,,2.0,Add 2 representatives,demand=+0%; FTE=+2; capacity=+0%
Alfa,Germany,Antibiotics,2019-05-01,Base,"Persisted base workload forecast, fractional FTE allocation, and sustainable per-rep capacity.",2.689109594596772,0.4576486468372959,7.481691189885916,0.35942536604986186,-0.098223280787434,Potential Spare Capacity,True,,,,,0.0,Base case,demand=+0%; FTE=+0; capacity=+0%
