false_positive_rate,true_positive_rate,threshold,curve_type,precision,recall,review_rank,review_fraction,captured_count,lift
0.0,0.0,,roc,,,,,,
0.0,0.05555555555555555,264.3821623057947,roc,,,,,,
0.2647058823529412,0.05555555555555555,198.4117062911386,roc,,,,,,
0.2647058823529412,0.1111111111111111,161.6039154036986,roc,,,,,,
0.35294117647058826,0.1111111111111111,146.75480184036837,roc,,,,,,
0.35294117647058826,0.2777777777777778,70.7688245773363,roc,,,,,,
0.38235294117647056,0.2777777777777778,53.94050233613081,roc,,,,,,
0.38235294117647056,0.7777777777777778,4.831587602631342,roc,,,,,,
0.4117647058823529,0.7777777777777778,4.096438166158287,roc,,,,,,
0.4117647058823529,0.8333333333333334,3.694270338500271,roc,,,,,,
0.47058823529411764,0.8333333333333334,3.0237785384961287,roc,,,,,,
0.47058823529411764,0.9444444444444444,2.7669217124569925,roc,,,,,,
0.5294117647058824,0.9444444444444444,2.481523600971224,roc,,,,,,
0.5294117647058824,1.0,2.421385759580096,roc,,,,,,
1.0,1.0,1.1693529692925775,roc,,,,,,
,,1.1693529692925775,precision_recall,0.34615384615384615,1.0,,,,
,,1.4417315670482265,precision_recall,0.35294117647058826,1.0,,,,
,,1.7101911533168768,precision_recall,0.36,1.0,,,,
,,1.8130333271463346,precision_recall,0.3673469387755102,1.0,,,,
,,1.8795384472126162,precision_recall,0.375,1.0,,,,
,,1.9289582928965083,precision_recall,0.3829787234042553,1.0,,,,
,,1.9325122225918185,precision_recall,0.391304347826087,1.0,,,,
,,1.994274253926145,precision_recall,0.4,1.0,,,,
,,2.027077394202594,precision_recall,0.4090909090909091,1.0,,,,
,,2.0328040702126766,precision_recall,0.4186046511627907,1.0,,,,
,,2.1053899896401833,precision_recall,0.42857142857142855,1.0,,,,
,,2.1421225258654704,precision_recall,0.43902439024390244,1.0,,,,
,,2.1494033982441016,precision_recall,0.45,1.0,,,,
,,2.1716953610186485,precision_recall,0.46153846153846156,1.0,,,,
