observation_id,model,feature,contribution
obs_e23e597521391cf3,PCA Reconstruction,distributor_concentration,0.3133720669846932
obs_e23e597521391cf3,PCA Reconstruction,distinct_products,0.16719530424937165
obs_e23e597521391cf3,PCA Reconstruction,total_sales_team_relative,0.15556527832670336
obs_615f1e87ef3d13b8,PCA Reconstruction,distributor_mix_change,0.6273687717802401
obs_615f1e87ef3d13b8,PCA Reconstruction,distributor_concentration,0.4217591168977061
obs_615f1e87ef3d13b8,PCA Reconstruction,product_mix_change,0.36342582306654103
obs_e34700c8cd07293a,PCA Reconstruction,distributor_concentration,0.3815430142100705
obs_e34700c8cd07293a,PCA Reconstruction,distinct_customers_trend,0.21687791921776067
obs_e34700c8cd07293a,PCA Reconstruction,distinct_customers_history_deviation,0.18575889260512016
obs_99444d4e9650045b,PCA Reconstruction,distinct_customers_lag_2,0.3598780786551607
obs_99444d4e9650045b,PCA Reconstruction,total_quantity_lag_3,0.32245210306040945
obs_99444d4e9650045b,PCA Reconstruction,simulated_actual_payout_lag_3,0.2787878652693065
obs_b860fa3f27bce88a,PCA Reconstruction,distributor_concentration,0.2788292616263979
obs_b860fa3f27bce88a,PCA Reconstruction,product_mix_change,0.20709294180836557
obs_b860fa3f27bce88a,PCA Reconstruction,total_quantity_team_relative,0.16744898931489086
obs_614d2c48e59c5a11,PCA Reconstruction,product_class_share,2.2910893062725917
obs_614d2c48e59c5a11,PCA Reconstruction,total_sales_peer_z,0.5947135982574717
obs_614d2c48e59c5a11,PCA Reconstruction,total_sales_team_relative,0.3840858640899318
obs_2b54b4193131acb6,PCA Reconstruction,distributor_mix_change,2.195794946431654
obs_2b54b4193131acb6,PCA Reconstruction,product_class_share,0.7691907495146133
obs_2b54b4193131acb6,PCA Reconstruction,total_sales_trend,0.3294773036853291
obs_1f48c1ee3e71a112,PCA Reconstruction,distributor_concentration,0.3515749798033684
obs_1f48c1ee3e71a112,PCA Reconstruction,new_customers,0.2825609887742489
obs_1f48c1ee3e71a112,PCA Reconstruction,simulated_payout_to_sales_ratio,0.21003925692201278
obs_fac9a84a13517c49,PCA Reconstruction,total_quantity_peer_percentile,0.9686563270256703
obs_fac9a84a13517c49,PCA Reconstruction,total_quantity_lag_3,0.7511169873590979
obs_fac9a84a13517c49,PCA Reconstruction,total_sales_peer_percentile,0.5229847047494887
obs_0d38ba308d8034c2,PCA Reconstruction,product_mix_change,0.44905248642127515
obs_0d38ba308d8034c2,PCA Reconstruction,customer_loss_rate,0.22070317447488058
obs_0d38ba308d8034c2,PCA Reconstruction,total_quantity_lag_1,0.19868974994164448
obs_61ac42657d7331dd,PCA Reconstruction,total_quantity_lag_2,0.5361735227835178
obs_61ac42657d7331dd,PCA Reconstruction,total_quantity_peer_median,0.32186481290150276
obs_61ac42657d7331dd,PCA Reconstruction,total_sales_peer_z,0.31839108007212247
obs_43a512da6ca25bcc,PCA Reconstruction,total_quantity_lag_3,0.5399994513566028
obs_43a512da6ca25bcc,PCA Reconstruction,total_sales_peer_percentile,0.3681892292711542
obs_43a512da6ca25bcc,PCA Reconstruction,simulated_actual_payout_team_relative,0.27391984379540557
obs_1753f2f158ae70ac,PCA Reconstruction,subchannel_mix,0.988008579991578
obs_1753f2f158ae70ac,PCA Reconstruction,product_concentration,0.9279004051766334
obs_1753f2f158ae70ac,PCA Reconstruction,dominant_product_share,0.6000619228698229
obs_f515e3cb78631885,PCA Reconstruction,product_class_share,0.3823814923732802
obs_f515e3cb78631885,PCA Reconstruction,total_quantity_year_over_year_growth,0.24792951399222413
obs_f515e3cb78631885,PCA Reconstruction,new_customers,0.1910753675269465
obs_1fc0b0ecd7830d62,PCA Reconstruction,product_class_share,0.49979109942903244
obs_1fc0b0ecd7830d62,PCA Reconstruction,simulated_actual_payout_year_over_year_growth,0.20323047144400552
obs_1fc0b0ecd7830d62,PCA Reconstruction,simulated_actual_payout_peer_median,0.1785621748671687
obs_d814e046eaa60d15,PCA Reconstruction,total_quantity_lag_1,0.34989863350666567
obs_d814e046eaa60d15,PCA Reconstruction,distributor_mix_change,0.3193765847461362
obs_d814e046eaa60d15,PCA Reconstruction,country_mix,0.30067476987046565
obs_76bde88d2475a77f,PCA Reconstruction,total_quantity_lag_2,0.4242181079010559
obs_76bde88d2475a77f,PCA Reconstruction,distributor_concentration,0.3579488037705244
obs_76bde88d2475a77f,PCA Reconstruction,total_sales_rolling_std,0.3091823996014781
obs_03a31da4d41327a0,PCA Reconstruction,total_quantity_peer_percentile,0.9091850700881994
obs_03a31da4d41327a0,PCA Reconstruction,simulated_actual_payout_lag_12,0.8632574742339338
obs_03a31da4d41327a0,PCA Reconstruction,total_quantity_peer_median,0.6436981540280552
obs_33d19603a3759bab,PCA Reconstruction,distributor_mix_change,1.9494277208664552
obs_33d19603a3759bab,PCA Reconstruction,new_customers,0.7928914385494499
obs_33d19603a3759bab,PCA Reconstruction,total_quantity_lag_12,0.6617540092428603
obs_791d08d7ef65ea42,PCA Reconstruction,simulated_actual_payout_year_over_year_growth,1.504345697269887
obs_791d08d7ef65ea42,PCA Reconstruction,simulated_actual_payout_peer_median,0.9902500302630419
obs_791d08d7ef65ea42,PCA Reconstruction,subchannel_mix,0.8070613731606662
obs_5a95dfdf8550b3c1,PCA Reconstruction,total_quantity_lag_12,1.5105137017836623
obs_5a95dfdf8550b3c1,PCA Reconstruction,new_customers,0.44075292618152667
obs_5a95dfdf8550b3c1,PCA Reconstruction,simulated_actual_payout_lag_12,0.41853865906133425
obs_0011949b2bb7fbcd,PCA Reconstruction,new_customers,4.744681295753237
obs_0011949b2bb7fbcd,PCA Reconstruction,simulated_actual_payout_year_over_year_growth,1.3361804809335638
obs_0011949b2bb7fbcd,PCA Reconstruction,simulated_actual_payout_lag_12,0.8819021911674444
obs_063693637ef59cce,PCA Reconstruction,new_customers,2.5977186654495923
obs_063693637ef59cce,PCA Reconstruction,distributor_mix_change,2.490740284586706
obs_063693637ef59cce,PCA Reconstruction,distributor_concentration,0.5766790316025959
obs_1b443ebac94ac4d4,PCA Reconstruction,new_customers,0.8140877900895395
obs_1b443ebac94ac4d4,PCA Reconstruction,simulated_actual_payout_lag_12,0.3926146569762842
obs_1b443ebac94ac4d4,PCA Reconstruction,simulated_actual_payout_rolling_mean_6,0.3619167864850438
obs_b5b4c5d2b06e9f98,PCA Reconstruction,distributor_count,2.1695040289112764
obs_b5b4c5d2b06e9f98,PCA Reconstruction,simulated_actual_payout_peer_median,1.3258154888139577
obs_b5b4c5d2b06e9f98,PCA Reconstruction,distinct_customers_history_deviation,0.8187318937966758
obs_b06ed11f42fcfbdf,PCA Reconstruction,simulated_actual_payout_peer_median,3.1037429060656643
obs_b06ed11f42fcfbdf,PCA Reconstruction,distinct_customers_rolling_std,2.0191549122456425
obs_b06ed11f42fcfbdf,PCA Reconstruction,distributor_mix_change,1.7185445942202136
obs_2df2349d5d6d4af1,PCA Reconstruction,new_customers,4.69570567910783
obs_2df2349d5d6d4af1,PCA Reconstruction,distinct_customers_lag_2,2.2169799522532476
obs_2df2349d5d6d4af1,PCA Reconstruction,distinct_customers_rolling_std,1.5588427624663816
obs_62f13cc5df51a157,PCA Reconstruction,new_customers,7.917737922488
obs_62f13cc5df51a157,PCA Reconstruction,simulated_actual_payout_year_over_year_growth,2.79889432162401
obs_62f13cc5df51a157,PCA Reconstruction,distinct_customers_rolling_std,1.903824455897809
obs_43336d845ea431bc,PCA Reconstruction,distinct_customers_team_relative,0.17862928817551632
obs_43336d845ea431bc,PCA Reconstruction,total_sales_team_relative,0.1721430943583103
obs_43336d845ea431bc,PCA Reconstruction,total_quantity_team_relative,0.12535287016727084
obs_baf5625da2096882,PCA Reconstruction,subchannel_mix,0.5897332204492363
obs_baf5625da2096882,PCA Reconstruction,distinct_customers_history_deviation,0.4127262404728201
obs_baf5625da2096882,PCA Reconstruction,distributor_concentration,0.37947347215376775
obs_c6bc5c9e95ff4666,PCA Reconstruction,product_breadth_change,1.5470468220784506
