observation_id,feature,score_reduction
obs_6503b2dd1b66b41d,total_quantity_lag_3,0.011179967414890968
obs_6503b2dd1b66b41d,distinct_customers_lag_12,0.009495514033663444
obs_6503b2dd1b66b41d,distinct_customers_year_over_year_growth,0.00747464125924846
obs_6503b2dd1b66b41d,distributor_count,0.007331951604845288
obs_6503b2dd1b66b41d,simulated_actual_payout_month_over_month_growth,0.006710740105010438
obs_a1e4ca82ef0309af,total_quantity_lag_2,0.01012562143235829
obs_a1e4ca82ef0309af,total_sales_year_over_year_growth,0.009448034362854463
obs_a1e4ca82ef0309af,distinct_customers_year_over_year_growth,0.008924419546700535
obs_a1e4ca82ef0309af,total_quantity_acceleration,0.0075160901460812335
obs_a1e4ca82ef0309af,distinct_customers_lag_6,0.00622509581233055
obs_438e87ccdfc7619e,total_quantity_month_over_month_growth,0.011958948608008502
obs_438e87ccdfc7619e,country_mix,0.006888162233914474
obs_438e87ccdfc7619e,new_customers,0.004748182517740784
obs_438e87ccdfc7619e,distinct_customers_lag_6,0.0046240159792911295
obs_438e87ccdfc7619e,total_quantity_team_relative,0.004180775556308247
obs_1ef450087534d063,total_quantity,0.008858527045997544
obs_1ef450087534d063,total_sales_year_over_year_growth,0.006469465390198492
obs_1ef450087534d063,distinct_customers_peer_percentile,0.005615618384041399
obs_1ef450087534d063,total_sales_lag_3,0.0049253971791717865
obs_1ef450087534d063,new_customers,0.004588229028925972
obs_155361f7eadc6348,total_sales_lag_12,0.017896705020324255
obs_155361f7eadc6348,total_quantity_year_over_year_growth,0.012329034822303908
obs_155361f7eadc6348,total_sales_year_over_year_growth,0.011914597056098541
obs_155361f7eadc6348,total_quantity_lag_12,0.008860842182568385
obs_155361f7eadc6348,simulated_actual_payout_year_over_year_growth,0.008333577176523832
obs_e43c1d5c2e90b7e1,distinct_customers_year_over_year_growth,0.011814828292903923
obs_e43c1d5c2e90b7e1,total_quantity_lag_2,0.010596164822929688
obs_e43c1d5c2e90b7e1,distributor_count,0.009307183556568233
obs_e43c1d5c2e90b7e1,total_sales_lag_12,0.008402666167267703
obs_e43c1d5c2e90b7e1,total_sales_year_over_year_growth,0.0083741839988134
obs_4a7a18a2c9e2173c,customer_loss_rate,0.00976080541696106
obs_4a7a18a2c9e2173c,distributor_mix_change,0.009644885307474649
obs_4a7a18a2c9e2173c,simulated_payout_to_sales_ratio,0.006474959989109408
obs_4a7a18a2c9e2173c,simulated_actual_payout_peer_median,0.006392969376093627
obs_4a7a18a2c9e2173c,product_mix_change,0.006312782774534453
obs_45712c66dd35cc62,simulated_actual_payout_lag_2,0.0072022293001950954
obs_45712c66dd35cc62,total_sales_lag_1,0.007014934291918906
obs_45712c66dd35cc62,average_transaction_value,0.005083248862954637
obs_45712c66dd35cc62,product_concentration,0.004683622417522515
obs_45712c66dd35cc62,product_class_share,0.004623568374576004
obs_49643e3e73b66e9f,distinct_customers_year_over_year_growth,0.010313090198162733
obs_49643e3e73b66e9f,total_quantity_lag_3,0.01002621897086392
obs_49643e3e73b66e9f,distributor_count,0.007610554200208619
obs_49643e3e73b66e9f,simulated_actual_payout_trend,0.006775941540203889
obs_49643e3e73b66e9f,distinct_customers_lag_12,0.006546612838035704
obs_892b1b9eb570ead3,distributor_concentration,0.014229576928607879
obs_892b1b9eb570ead3,distributor_count,0.009941489343210042
obs_892b1b9eb570ead3,distinct_customers_year_over_year_growth,0.00872875123171546
obs_892b1b9eb570ead3,distinct_customers_lag_6,0.007595298092027858
obs_892b1b9eb570ead3,distinct_customers_team_relative,0.007360638988214374
obs_ea6b56f3e9c18bb2,distinct_customers_year_over_year_growth,0.007171804437116236
obs_ea6b56f3e9c18bb2,total_quantity_peer_median,0.006678886981927645
obs_ea6b56f3e9c18bb2,simulated_actual_payout_peer_median,0.006371218144506474
obs_ea6b56f3e9c18bb2,distinct_customers_lag_12,0.0058736142292755145
obs_ea6b56f3e9c18bb2,distributor_count,0.005141123298803785
obs_36d0b37184997cfa,total_quantity_month_over_month_growth,0.01477523379716994
obs_36d0b37184997cfa,total_sales_lag_1,0.008267188139973403
obs_36d0b37184997cfa,distinct_customers_year_over_year_growth,0.007836725928362709
obs_36d0b37184997cfa,distinct_customers_trend,0.006879140261800865
obs_36d0b37184997cfa,distinct_customers_acceleration,0.00617747877822028
obs_6e1bd7223c85ebfd,new_customers,0.0077088978210217984
obs_6e1bd7223c85ebfd,product_concentration,0.007685131920292521
obs_6e1bd7223c85ebfd,customer_concentration,0.006949670703456423
obs_6e1bd7223c85ebfd,total_sales_team_relative,0.0065698850123255825
obs_6e1bd7223c85ebfd,distinct_customers_year_over_year_growth,0.006255642551178164
obs_84a8e8aef44fcfaa,total_sales_month_over_month_growth,0.006762825088207136
obs_84a8e8aef44fcfaa,total_sales_team_relative,0.005714786159611296
obs_84a8e8aef44fcfaa,simulated_actual_payout,0.005407683065174029
obs_84a8e8aef44fcfaa,city_concentration,0.004956170252549685
obs_84a8e8aef44fcfaa,subchannel_mix,0.004704390840428174
obs_513a75c19be2b19d,distinct_customers_year_over_year_growth,0.010936739763728276
obs_513a75c19be2b19d,distributor_count,0.009861215055934514
obs_513a75c19be2b19d,distinct_customers_lag_6,0.0065627776475187805
obs_513a75c19be2b19d,total_quantity_history_deviation,0.006149735170046244
obs_513a75c19be2b19d,total_quantity_year_over_year_growth,0.0060946487587149045
obs_a3c1436f4a4dc5f8,distinct_customers_year_over_year_growth,0.008767723760277457
obs_a3c1436f4a4dc5f8,distributor_concentration,0.00832584237209033
obs_a3c1436f4a4dc5f8,total_quantity_acceleration,0.007761525389586632
obs_a3c1436f4a4dc5f8,simulated_actual_payout_year_over_year_growth,0.007298131286865628
obs_a3c1436f4a4dc5f8,simulated_actual_payout_trend,0.006565115234988261
obs_51f13243c9343e52,distinct_customers_year_over_year_growth,0.014516641348898962
obs_51f13243c9343e52,distributor_count,0.00755034797802101
obs_51f13243c9343e52,new_customers,0.006057295249919381
obs_51f13243c9343e52,repeat_customer_ratio,0.005850905161025821
obs_51f13243c9343e52,simulated_actual_payout_year_over_year_growth,0.005565942682190905
obs_1a58e4d3c759c7d0,distinct_customers_year_over_year_growth,0.010651783174607354
obs_1a58e4d3c759c7d0,simulated_actual_payout_trend,0.006967089989403652
obs_1a58e4d3c759c7d0,subchannel_mix,0.006932398617903401
obs_1a58e4d3c759c7d0,distinct_customers_lag_6,0.006770751295762323
obs_1a58e4d3c759c7d0,simulated_actual_payout_year_over_year_growth,0.005886910632350917
obs_b15c31a8737cf97b,distinct_customers_year_over_year_growth,0.011304122768950875
obs_b15c31a8737cf97b,distinct_customers_lag_12,0.008711785393181903
obs_b15c31a8737cf97b,distinct_customers_lag_6,0.006674317261744556
obs_b15c31a8737cf97b,total_quantity_year_over_year_growth,0.006319511523696697
obs_b15c31a8737cf97b,distinct_customers_team_relative,0.006164399051322655
obs_75dbaa4dbb0c93da,product_concentration,0.007712656260270401
obs_75dbaa4dbb0c93da,customer_concentration,0.007097986052537419
obs_75dbaa4dbb0c93da,city_concentration,0.005574938390039308
obs_75dbaa4dbb0c93da,new_customers,0.004719949054309169
obs_75dbaa4dbb0c93da,simulated_actual_payout_lag_2,0.004611688490629096
