population,period,observations,mean_raw_score,median_raw_score,std_raw_score,mean_anomaly_score,p95_anomaly_score,review_rate,selected_entity_overlap_previous_period,ground_truth_prevalence,precision_at_threshold,recall_at_threshold,mean_score_change_from_previous_period
clean,2017-01-01,13,78.21406209183333,32.71540080025147,75.6349144512845,0.9252045826513912,0.9910638297872341,0.23076923076923078,,,,,
clean,2017-02-01,13,4.100639622785332,4.059718547225469,0.20353166736428852,0.8574468085106381,0.8804255319148936,0.0,0.0,,,,-0.06775777414075301
clean,2017-03-01,13,1.2198849951656328,1.2187264350485931,0.24274807638074436,0.3013093289689034,0.591914893617021,0.0,0.0,,,,-0.5561374795417348
clean,2017-04-01,13,1.234405607369001,1.1413323762751464,0.2968293688662522,0.2764320785597381,0.6472340425531912,0.0,0.0,,,,-0.024877250409165275
clean,2017-05-01,13,12.330366364991773,1.207151155504295,38.57075511476518,0.3428805237315876,0.7212765957446803,0.0,0.0,,,,0.0664484451718495
clean,2017-06-01,13,1.2693918233575952,1.2015412157696561,0.17604902813302395,0.33535188216039286,0.5919148936170211,0.0,0.0,,,,-0.007528641571194761
clean,2017-07-01,13,1.247835526358809,1.2392481311981007,0.30352655128046385,0.31407528641571203,0.6914893617021274,0.0,0.0,,,,-0.021276595744680826
clean,2017-08-01,13,1.111107750745241,1.1971784098832403,0.28482537900086796,0.2541734860883797,0.511063829787234,0.0,0.0,,,,-0.05990180032733233
clean,2017-09-01,13,1.3074881005680228,1.1902876426626683,0.2728499793287048,0.3445171849427168,0.7127659574468084,0.0,0.0,,,,0.09034369885433713
clean,2017-10-01,13,1.117668684088088,1.1052454783837118,0.41532839214903966,0.2220949263502455,0.581702127659574,0.0,0.0,,,,-0.12242225859247133
clean,2017-11-01,13,12.414742671395755,1.2635778382001994,38.510170601086166,0.37135842880523734,0.8472340425531912,0.0,0.0,,,,0.14926350245499184
clean,2017-12-01,13,69.37291367790948,3.2786502669519146,80.09770788552132,0.6947626841243862,0.9825531914893617,0.15384615384615385,0.0,,,,0.3234042553191489
clean,2018-01-01,13,1.640642832598042,1.5368364905040546,0.6795280100363793,0.5769230769230769,0.8208510638297872,0.0,0.0,,,,-0.11783960720130937
