population,split,bin,score_lower,score_upper,count,share,mean_raw_score,mean_anomaly_score
clean,test,1,0.0,0.05,0,0.0,,
clean,test,2,0.05,0.1,0,0.0,,
clean,test,3,0.1,0.15,0,0.0,,
clean,test,4,0.15,0.2,0,0.0,,
clean,test,5,0.2,0.25,0,0.0,,
clean,test,6,0.25,0.3,1,0.019230769230769232,1.1690829512668237,0.251312283635314
clean,test,7,0.3,0.35,0,0.0,,
clean,test,8,0.35,0.4,0,0.0,,
clean,test,9,0.4,0.45,0,0.0,,
clean,test,10,0.45,0.5,1,0.019230769230769232,1.4504561713529702,0.49962212472376577
clean,test,11,0.5,0.55,0,0.0,,
clean,test,12,0.55,0.6,0,0.0,,
clean,test,13,0.6,0.65,0,0.0,,
clean,test,14,0.65,0.7,1,0.019230769230769232,1.7095354484861118,0.6751503030015263
clean,test,15,0.7,0.75,2,0.038461538461538464,1.8350189854889627,0.7396950736276251
clean,test,16,0.75,0.8,18,0.34615384615384615,2.0025689477984043,0.7688748294077362
clean,test,17,0.8,0.85,10,0.19230769230769232,2.7160125660275454,0.8178885767139213
clean,test,18,0.85,0.9,1,0.019230769230769232,4.0964570824050845,0.8712145889959945
clean,test,19,0.9,0.95,1,0.019230769230769232,53.94056430239268,0.9254564714070785
clean,test,20,0.95,1.0,17,0.3269230769230769,192.72865463561715,0.9834202912854579
clean,train,1,0.0,0.05,12,0.05128205128205128,0.6591353329232313,0.02553191489361702
clean,train,2,0.05,0.1,11,0.04700854700854701,1.0174829979198738,0.07446808510638298
clean,train,3,0.1,0.15,12,0.05128205128205128,1.0868212206563936,0.12340425531914893
clean,train,4,0.15,0.2,12,0.05128205128205128,1.1160626695262077,0.174468085106383
clean,train,5,0.2,0.25,12,0.05128205128205128,1.1478607926798834,0.225531914893617
clean,train,6,0.25,0.3,11,0.04700854700854701,1.1921069340093415,0.274468085106383
clean,train,7,0.3,0.35,12,0.05128205128205128,1.2282092826836415,0.3234042553191489
clean,train,8,0.35,0.4,12,0.05128205128205128,1.266617283313425,0.3744680851063829
clean,train,9,0.4,0.45,12,0.05128205128205128,1.3212912004235589,0.425531914893617
clean,train,10,0.45,0.5,11,0.04700854700854701,1.390474496408367,0.474468085106383
clean,train,11,0.5,0.55,12,0.05128205128205128,1.4656874419376102,0.523404255319149
clean,train,12,0.55,0.6,12,0.05128205128205128,1.509778627082133,0.5744680851063829
clean,train,13,0.6,0.65,12,0.05128205128205128,1.5993328610286592,0.6255319148936171
clean,train,14,0.65,0.7,11,0.04700854700854701,1.6960234710751185,0.6744680851063829
clean,train,15,0.7,0.75,12,0.05128205128205128,1.7992976186143885,0.723404255319149
clean,train,16,0.75,0.8,12,0.05128205128205128,2.035838184109078,0.7744680851063829
clean,train,17,0.8,0.85,12,0.05128205128205128,3.1914717853160344,0.825531914893617
clean,train,18,0.85,0.9,11,0.04700854700854701,11.90895059170893,0.8744680851063831
clean,train,19,0.9,0.95,12,0.05128205128205128,76.71875618596133,0.923404255319149
clean,train,20,0.95,1.0,11,0.04700854700854701,173.75375450321732,0.9723404255319149
clean,validation,1,0.0,0.05,5,0.0641025641025641,0.6812354529675739,0.022244199207443565
clean,validation,2,0.05,0.1,2,0.02564102564102564,0.9740046571335506,0.06724254740972324
clean,validation,3,0.1,0.15,1,0.01282051282051282,1.0746587968029642,0.10234203983929216
clean,validation,4,0.15,0.2,0,0.0,,
clean,validation,5,0.2,0.25,1,0.01282051282051282,1.159055990178327,0.2382765350620043
clean,validation,6,0.25,0.3,0,0.0,,
clean,validation,7,0.3,0.35,0,0.0,,
clean,validation,8,0.35,0.4,0,0.0,,
clean,validation,9,0.4,0.45,3,0.038461538461538464,1.3295456326977533,0.43418137809310337
clean,validation,10,0.45,0.5,0,0.0,,
clean,validation,11,0.5,0.55,1,0.01282051282051282,1.4813530837128488,0.5431489190538021
clean,validation,12,0.55,0.6,8,0.10256410256410256,1.5167407563087953,0.5803816608825159
clean,validation,13,0.6,0.65,7,0.08974358974358974,1.5937909542564184,0.6213498252164135
clean,validation,14,0.65,0.7,21,0.2692307692307692,1.688898588585192,0.6724517559436441
clean,validation,15,0.7,0.75,12,0.15384615384615385,1.8054278984197287,0.7254416846286514
clean,validation,16,0.75,0.8,7,0.08974358974358974,1.9897558319837536,0.7684282535150373
clean,validation,17,0.8,0.85,0,0.0,,
clean,validation,18,0.85,0.9,0,0.0,,
clean,validation,19,0.9,0.95,1,0.01282051282051282,55.12287201275402,0.925641331176558
clean,validation,20,0.95,1.0,9,0.11538461538461539,163.05657537461656,0.9687356079235874
injected_all,test,1,0.0,0.05,0,0.0,,
injected_all,test,2,0.05,0.1,0,0.0,,
injected_all,test,3,0.1,0.15,0,0.0,,
injected_all,test,4,0.15,0.2,0,0.0,,
injected_all,test,5,0.2,0.25,0,0.0,,
injected_all,test,6,0.25,0.3,1,0.019230769230769232,1.1693529692925775,0.2515665432110338
injected_all,test,7,0.3,0.35,0,0.0,,
injected_all,test,8,0.35,0.4,0,0.0,,
injected_all,test,9,0.4,0.45,0,0.0,,
injected_all,test,10,0.45,0.5,1,0.019230769230769232,1.4417315670482265,0.4983352508917558
injected_all,test,11,0.5,0.55,0,0.0,,
injected_all,test,12,0.55,0.6,0,0.0,,
injected_all,test,13,0.6,0.65,0,0.0,,
injected_all,test,14,0.65,0.7,1,0.019230769230769232,1.7101911533168768,0.6760026515674947
injected_all,test,15,0.7,0.75,1,0.019230769230769232,1.8130333271463346,0.7339044761081658
injected_all,test,16,0.75,0.8,10,0.19230769230769232,2.0363775955810763,0.7735535898093379
injected_all,test,17,0.8,0.85,10,0.19230769230769232,2.7509785752290745,0.8179197251254905
injected_all,test,18,0.85,0.9,10,0.19230769230769232,6.741176174848216,0.8821175183077875
injected_all,test,19,0.9,0.95,4,0.07692307692307693,87.9000830320126,0.9291758166458965
